FF1,FF2
1940.42,2005.47
2057.23,2116.39
2339.38,2331.52
2791.17,2671.16
3314.06,3066.62
4242.57,3961.6
3846.03,4091.82
3210.5,3160.72
3223.17,3063.66
3165.37,3302.7
3267.24,3357.01
3947.9,3568.03
7260.36,6842.26
10762.07,10494.55
11570.85,11777.64
12286.98,12476.16
12487.27,12735.28
12521.91,12769.92
12557.5,12721.87
12451.47,12821.35
12522.4,12744
12460.77,12733.71
12363.18,12679.04
12306.2,12643.9
12303.52,12391.41
12193.55,12573.13
12302.58,12348.62
12261.23,12521.91
12220.99,12590.54
12160.96,12408.6
12137.06,12334.13
12140.72,12311.55
12086.46,12456.41
12107.19,12454.52
12105.34,12278.67
12066.21,12268.51
12099.33,12260.74
12085.96,12244.16
12121.59,12325.78
12118.3,12337.51
12087.11,12352.53
12046.38,12264.07
12073.95,12270.73
12069.18,12188.9
12087.89,12465.79
12080.28,12313.81
12032.39,12338.08
12027.46,12352.16
12057.08,12277.19
11999.4,12247.36
12010.92,12334.3
12005.73,12171.58
12053.66,12064.16
11961.87,12243.99
11991.46,12208.24
11973.31,12090.24
11970.23,12237.61
11977.84,12072.1
11982.94,12098.18
11936.41,12067.9
11968.46,12173.51
11934.19,12133.65
11942.17,12180.75
11910.82,12030.42
11904.23,12055.43
11854.66,12011.21
11841.82,11917.44
11884.9,11998.78
11852.27,11945.75
11825.03,12004.46
11780.19,11926.74
11773.93,11882.22
11813.35,11928.38
11812.69,11904.64
11731.23,11960.72
11772.04,11862.6
11705.39,11901.64
11752.7,11780.89
11925.09,12021.41
12086.95,12029.27
12459.87,12543.76
12846.78,12842.5
13164.07,13176.16
13617.46,13549.41
13930.15,13961.09
14335.24,14486.94
14650.97,14757.29
14873.31,14874.17
14904.12,15083.71
14919.06,15039.28
14891.49,14875.45
14778.19,14925.89
14731.36,15070.22
14762.88,14907.74
14719.43,14878.57
14682.49,14915.03
14630.69,14907.46
14658.62,14697.46
14580.21,14767.98
14640.28,14772.59
14599.79,14738.77
14557.66,14709.89
14668.5,14725.93
14587.37,14789.79
14580.45,14619.21
14541.28,14897.75
14568.31,14712.11
14642.58,14816.2
14582.02,14762.18
14572.22,14739.18
14655.25,14746.59
14624.06,14689.36
14605.14,14815.54
14580.86,14714.7
14611.19,14768.31
14639.99,14626.08
14569.67,14686.15
14618.72,14696.97
14619.7,14782.18
14671.42,14672.28
14655.99,14848.29
14714.04,14798.26
14726.43,14709.27
14779.5,14848.79
14800.44,14909.92
14764.77,14956.54
14750.54,14894.21
14731.61,14900.54
14872.4,14873.88
14797.11,14941.11
14784.44,14800.32
14816.69,14974.4
14769.67,14916.43
14760,14950.82
14707.26,14850.8
14747.16,14854.22
14637.15,14862.65
14741.65,14736.88
14616.7,14833.23
14708.82,14856.6
14661.01,14754.82
14825.33,14754.65
14726.84,14860.22
14654.26,14814.68
14903.59,14799.17
14766.29,14896.55
14731.86,14863.27
14746.09,14907.21
14815.79,14898.61
14781.56,14896.84
14777.77,15042.53
14804.52,14868.21
14751.03,14879.07
14798.55,14987.4
14781.48,14881.45
14775.63,14854.38
14810.77,14994.27
14826.94,14873.39
14845.58,15000.03
14862.2,14926.83
14802.5,14959.34
14725.23,14878.33
14814.93,14862.9
14797.69,14905.52
14697.46,14770.57
14679.53,14751.94
14626.53,14742.64
14662.41,14743.96
14546.26,14664.14
14479.98,14563.25
14452.66,14622.79
14431.39,14524.42
14400.33,14580
14371.2,14506.19
14426.25,14434.48
14340.96,14435.51
14272.87,14368.07
14367.74,14465.17
14295.41,14423
14244.73,14329.89
14235.84,14319.44
14239.01,14416.09
14196.05,14255.09
14178.86,14253.65
14127.88,14267.48
14112.58,14256.74
14115.29,14196.46
14028.89,14300.93
13988.98,14115.83
14018.93,14172.4
13935.46,14147.79
13946.11,14110.72
13884.81,13983.14
13930.97,14079.42
13860.99,14044.48
13897.07,14036.67
13822.89,14007.58
13787.09,14002.56
13753.56,14026.63
13729.62,13923.98
13739.33,13918.13
13725.87,13884.97
13762.45,13781.99
13706.08,13993.76
13684.61,13836.18
13655.31,13935.83
13661.07,13890.9
13601.33,13869.38
13617.54,13659.47
13590.19,13812.81
13573.77,13804.99
13581.59,13697.94
13551.3,13686.75
13569.33,13852.8
13498.15,13707.65
13485.64,13777.67
13363.82,13544.52
12777.65,12977.12
12424.36,12708.58
12300.89,12483.52
12088.02,12285.96
11909.09,12138.79
11605.99,11874.53
11255.21,11495.89
10877.72,11046.24
10719.89,10816.54
10584.9,10705.04
10592.02,10694.1
10628.68,10787.54
10547.63,10689.53
10581.7,10801.07
10536.73,10546.27
10377.96,10417.91
10127.4,10292.71
9722.06,9791.18
9342.8,9679.43
8747.96,8903.4
8444.41,8753.92
8231.86,8296.13
8042.52,8254.66
8038.24,8196.93
7894.04,8045.07
7709.27,7823.97
7211.03,7624.84
6816.14,7139.68
6782.89,6860.37
6788.65,6944.58
6761.62,6861.72
6739.57,6868.68
