GS,GWlb,GW
0.94,309042.63,137.9659013
1.23,309041.5,137.9653968
1.46,309040.28,137.9648522
1.9,309038.91,137.9642406
2.24,309037.16,137.9634593
2.91,309035.25,137.9626067
3.53,309032.88,137.9615486
4.74,309030.91,137.9606692
5.66,309029.16,137.9598879
7.13,309027.41,137.9591066
8.09,309025.31,137.9581691
9.52,309023.72,137.9574593
10.51,309020.72,137.95612
12.62,309015.44,137.9537629
14.9,309009.44,137.9510843
22.83,309002.75,137.9480977
22.83,308994.69,137.9444995
28.39,308988.75,137.9418477
32.17,308981.69,137.9386959
37.87,308973.25,137.934928
41.65,308966.25,137.931803
47.26,308959.25,137.928678
50.96,308951.25,137.9251065
56.46,308945.38,137.922486
60.05,308938.5,137.9194146
65.37,308931.63,137.9163476
68.83,308924.78,137.9132895
73.98,308916.88,137.9097627
77.35,308911,137.9071377
82.32,308911,137.9071377
85.58,308902.63,137.9034011
93.54,308895.66,137.9002895
93.54,308889.06,137.8973431
98.24,308882.06,137.894218
101.32,308875.06,137.891093
105.86,308868.47,137.8881511
108.82,308861.88,137.8852091
113.16,308854.94,137.8821109
116.04,308848.34,137.8791644
120.32,308840.22,137.8755394
123.08,308832.75,137.8722046
127.15,308826.47,137.869401
129.85,308820.06,137.8665394
133.8,308812.97,137.8633742
136.39,308806.56,137.8605126
140.1,308798.38,137.8568608
142.46,308791.63,137.8538474
147.66,308784.84,137.8508161
147.66,308778.09,137.8478027
150.09,308771.38,137.8448072
151.34,308763.25,137.8411777
152.49,308756.47,137.8381509
152.65,308749.78,137.8351643
152.46,308742.03,137.8317045
152.04,308736.31,137.8291509
151.28,308729.63,137.8261687
150.83,308722.91,137.8231687
150.15,308716.22,137.8201821
149.68,308709.53,137.8171955
148.98,308702.06,137.8138606
148.6,308696.19,137.8112401
148.23,308689.34,137.8081821
148.03,308682.78,137.8052535
147.75,308676.13,137.8022847
147.75,308669.47,137.7993115
147.77,308662.81,137.7963383
147.81,308655.22,137.7929499
147.86,308649.59,137.7904365
147.89,308643,137.7874945
147.89,308636.38,137.7845391
147.86,308629.81,137.7816061
147.81,308622.25,137.7782311
147.76,308616.63,137.7757221
147.66,308610.06,137.7727891
147.69,308603.47,137.7698471
147.76,308596.94,137.7669319
147.78,308590.38,137.7640033
147.79,308582.53,137.7604989
147.83,308575.91,137.7575435
148.09,308575.91,137.7575435
148.09,308567.72,137.7538872
148.44,308560.78,137.750789
148.89,308553.66,137.7476104
149.74,308546.34,137.7443426
150.44,308538.84,137.7409943
151.63,308530.75,137.7373827
152.56,308523.13,137.7339809
154.12,308514.78,137.7302532
155.09,308506.72,137.726655
156.48,308498.38,137.7229318
157.41,308489.03,137.7187577
158.82,308481.78,137.715521
159.77,308473.34,137.7117532
161.06,308465.25,137.7081416
161.93,308457.03,137.7044719
164.33,308448.81,137.7008022
164.33,308440.38,137.6970388
165.71,308430.72,137.6927263
166.62,308421.56,137.688637
168.18,308414.63,137.6855433
169.32,308406.47,137.6819004
171.08,308397.91,137.678079
172.3,308390.19,137.6746325
174.19,308380.78,137.6704316
175.55,308373.84,137.6673334
177.59,308365.31,137.6635253
178.88,308357.53,137.6600521
180.95,308349.41,137.6564271
182.35,308340.81,137.6525878
184.31,308329.78,137.6476637
185.67,308321.66,137.6440387
189.07,308313.5,137.6403958
189.07,308305.38,137.6367708
191.03,308297.19,137.6331145
